Freq[Hz]  Imp[Ohm]  Phase[Deg]
13867.6     17.830    44.093
14069.3     17.934    44.140
14273.9     18.049    44.212
14481.5     18.187    44.291
14692.2     18.336    44.361
14905.9     18.488    44.418
15122.7     18.641    44.459
15342.7     18.793    44.483
15565.8     18.944    44.504
15792.2     19.096    44.530
16021.9     19.250    44.556
16255.0     19.405    44.578
16491.4     19.575    44.593
16731.3     19.761    44.584
16974.7     19.937    44.553
17221.6     20.104    44.509
17472.1     20.264    44.456
17726.2     20.417    44.406
17984.0     20.568    44.374
18245.6     20.720    44.357
18511.0     20.877    44.346
18780.2     21.044    44.333
19053.4     21.229    44.308
19330.5     21.416    44.264
19611.7     21.590    44.206
19897.0     21.755    44.143
20186.4     21.914    44.082
20480.0     22.078    44.031
20777.9     22.248    43.982
21080.1     22.420    43.932
21386.7     22.591    43.879
21697.8     22.763    43.822
22013.4     22.935    43.764
22333.6     23.106    43.703
22658.4     23.278    43.642
22988.0     23.450    43.579
23322.4     23.621    43.516
23661.6     23.793    43.452
24005.8     23.965    43.388
24355.0     24.136    43.324
24709.2     24.308    43.260
25068.6     24.479    43.195
25433.2     24.651    43.131
25803.2     24.823    43.067
26178.5     24.994    43.003
26559.3     25.166    42.940
26945.6     25.338    42.877
27337.5     25.509    42.815
27735.2     25.681    42.754
28138.6     25.853    42.694
28547.9     26.024    42.634
28963.1     26.196    42.576
29384.4     26.368    42.518
29811.8     26.539    42.462
30245.4     26.711    42.408
30685.3     26.882    42.355
31131.7     27.054    42.303
31584.5     27.226    42.253
32043.9     27.397    42.205
32510.0     27.569    42.159
32982.8     27.741    42.115
33462.6     27.912    42.073
33949.3     28.084    42.034
34443.1     28.256    41.997
34944.1     28.427    41.964
35452.4     28.599    41.933
35968.0     28.771    41.907
36491.2     28.942    41.884
37022.0     29.114    41.866
37560.5     29.286    41.855
38106.8     29.455    41.850
38661.1     29.616    41.854
39223.4     29.737    41.860
39793.9     29.819    41.867
